N=20,,N=10,
Hdc(A/m),delta_Pcv(kW/m3),Hdc(A/m),delta_Pcv(kW/m3)
0,16.92,0,19.732
100.56,16.024,99.628,20.416
199.26,15.994,200.19,20.592
299.81,15.95,299.81,20.411
400.37,16.126,400.37,20.301
500.93,16.076,500,20.441
599.63,16.157,599.63,20.368
700.19,16.238,700.19,20.491
800.74,16.096,799.81,20.566
893.85,16.308,900.37,20.623
1000,16.327,1000,20.574
