B_IWATSU,Pcv_IWATSU,B_Meas,Pcv_Meas
0.020036,2.9474,0.019922,2.5922
0.030186,7.9853,0.030029,7.4316
0.040099,16.582,0.03999,15.785
0.050207,29.323,0.050069,27.101
0.060004,45.571,0.059984,41.576
0.070096,66.733,0.069842,59.38
0.080066,91.574,0.079826,80.732
0.090061,120.02,0.089775,105.74
0.099039,149.83,0.099993,135.04
0.11,190.11,0.1099,167.71
0.1204,232.4,0.1199,203.96
