N=20,,N=10,
Hdc(A/m),delta_Pcv(kW/m3),Hdc(A/m),delta_Pcv(kW/m3)
0,9.1526,0,10.761
100.56,8.6274,99.628,11.067
199.26,8.7139,200.19,11.1
299.81,8.7716,299.81,11.062
400.37,8.766,400.37,11.12
500.93,8.8224,500,11.195
599.63,8.8711,599.63,11.105
700.19,8.8169,700.19,11.149
800.74,9.0158,799.81,11.269
893.85,8.9176,900.37,11.197
1000,8.8971,1000,11.283
