833,33.635
1123,119.43
584,4.9662
388,429.26
920,46.033
649,4.333
789,27.125
47,140.23
593,4.6059
707,14.474
190,176.65
1135,141.1
859,43.111
955,66.7
148,1.018
320,285.61
329,275.59
1005,84.515
435,361.83
414,415.61
437,381.85
602,4.4382
744,22.093
559,10.758
986,61.68
972,84.57
244,205.76
761,19.297
848,32.902
492,498.65
804,32.466
491,537.53
6,156.76
459,490.9
81,185.97
119,1.047
419,416.15
958,66.77
686,10.472
1129,117.78
120,1.0473
90,1.1615
483,532.23
605,4.4832
385,344.59
516,552.36
647,4.2791
403,2.6779
685,11.878
142,2.5339
612,4.4925
658,11.149
659,11.269
1085,114.15
939,63.293
1015,132.36
49,142.53
195,224.53
457,483.69
111,1.2037
909,46.794
1068,85.965
904,46.392
845,33.923
395,418.13
525,572.82
133,1.5047
101,1.5301
126,1.1702
1104,116.45
262,269.62
135,1.4783
809,32.764
335,280.91
345,310.39
65,140.89
108,1.1799
298,312.05
597,4.72
455,489.29
768,19.691
27,186.66
159,1.0426
925,45.98
918,46.28
94,2.5222
561,10.598
541,616.06
202,210.46
737,27.16
903,47.188
41,154.91
880,96.51
673,14.394
154,1.0273
937,63.152
493,494.98
274,313.85
898,52.589
553,4.8034
80,183.69
1026,174.57
200,219.91
311,307.36
482,527.84
736,27.354
863,64.467
842,30.021
923,45.365
638,10.761
186,183.79
310,310.12
220,224.41
581,5.2422
552,4.8233
891,63.919
1045,95.499
156,1.0245
629,6.593
78,182.74
216,273.15
205,202.81
731,42.894
1086,114.04
60,140.98
632,6.462
314,316.4
747,21.701
401,2.6282
775,22.416
839,30.096
348,378.61
877,48.287
989,61.352
1008,131.04
62,138.75
1037,116.2
780,21.48
554,4.8155
99,2.6305
831,33.678
991,62.856
236,201.69
529,659.05
916,44.802
336,280.99
422,384.58
34,191.36
85,1.1434
75,186.01
35,154.41
350,371.11
674,14.38
189,177.83
752,19.793
640,10.617
1124,119.58
280,257.57
181,180.44
453,500.88
1038,116.85
796,43.321
801,89.062
1132,144.23
432,364.75
331,281.8
8,230.58
882,96.468
1023,88.037
204,205.08
734,44.187
743,27.913
372,328.57
579,5.1794
1006,85.345
705,14.343
661,11.283
947,98.169
347,317.26
741,27.263
794,42.809
769,19.42
651,4.3599
382,348.14
10,319.47
607,4.4659
879,96.791
797,43.753
248,202.62
471,455.18
759,20.266
745,21.881
226,225.96
323,293.42
88,1.1443
104,1.4987
255,217.45
646,4.2841
463,455.1
534,603.0
1017,88.605
782,21.92
1117,119.49
672,14.416
778,21.455
494,491.01
258,222.62
76,185.6
228,207.71
139,1.5549
512,482.41
917,45.417
795,42.984
165,164.92
283,264.44
473,448.85
988,61.394
987,61.398
180,181.31
191,177.71
309,311.99
1098,116.95
242,201.47
616,4.5833
748,21.895
531,620.86
922,45.503
623,5.1174
837,30.419
764,19.051
502,473.63
767,19.75
945,97.071
995,68.992
729,43.029
486,537.81
267,274.59
619,4.5673
628,5.3514
940,63.584
207,199.41
742,27.584
368,348.25
17,147.11
259,223.37
19,145.73
701,11.662
798,44.282
194,226.13
340,315.67
697,11.35
487,533.89
1093,173.98
548,650.39
694,11.592
201,222.39
175,216.72
852,33.748
587,4.9879
946,97.433
773,19.464
571,6.528
509,492.54
555,4.8183
301,375.02
730,42.806
858,42.834
1109,143.4
59,141.6
13,481.76
683,11.571
765,19.172
306,383.68
430,372.16
721,20.301
980,70.014
91,1.1526
321,287.97
862,64.996
3,72.711
446,423.04
887,64.339
892,64.614
1077,93.895
215,271.55
72,151.72
349,375.92
464,453.24
2,52.281
1036,115.95
241,199.45
572,6.6153
888,63.837
594,4.6034
719,20.592
304,375.82
577,5.1387
73,152.95
117,1.0794
1013,129.41
